ID,Week,Format,VocabWords,Course,Pre_Sum,Post_Sum,RawGain,Per_Pre,Per_Post,Per_Gain
10203,3,G,44,1020,46.00,58.50,12.50 ,0.5227 ,0.6648 ,0.1420 
10203,5,G,38,1020,41.50,51.50,10.00 ,0.5461 ,0.6776 ,0.1316 
10203,7,G,38,1020,39.50,46.00,6.50 ,0.5197 ,0.6053 ,0.0855 
10203,9,G,38,1020,33.00,39.50,6.50 ,0.4342 ,0.5197 ,0.0855 
10203,4,T,37,1020,52.00,53.00,1.00 ,0.7027 ,0.7162 ,0.0135 
10203,6,T,38,1020,28.00,42.00,14.00 ,0.3684 ,0.5526 ,0.1842 
10203,8,T,38,1020,31.50,41.00,9.50 ,0.4145 ,0.5395 ,0.1250 
10203,10,T,26,1020,18.00,35.50,17.50 ,0.3462 ,0.6827 ,0.3365 
10202,4,G,37,1020,52.50,65.00,12.50 ,0.7095 ,0.8784 ,0.1689 
10202,6,G,38,1020,29.00,45.50,16.50 ,0.3816 ,0.5987 ,0.2171 
10202,8,G,38,1020,27.50,41.50,14.00 ,0.3618 ,0.5461 ,0.1842 
10202,10,G,26,1020,22.00,29.00,7.00 ,0.4231 ,0.5577 ,0.1346 
10202,3,T,44,1020,30.00,59.50,29.50 ,0.3409 ,0.6761 ,0.3352 
10202,5,T,38,1020,40.00,51.00,11.00 ,0.5263 ,0.6711 ,0.1447 
10202,7,T,38,1020,37.50,50.00,12.50 ,0.4934 ,0.6579 ,0.1645 
10202,9,T,38,1020,31.00,46.00,15.00 ,0.4079 ,0.6053 ,0.1974 
20205,4,G,52,2020,17.50,69.00,51.50 ,0.1683 ,0.6635 ,0.4952 
20205,6,G,50,2020,18.50,24.50,6.00 ,0.1850 ,0.2450 ,0.0600 
20205,8,G,48,2020,11.00,28.00,17.00 ,0.1146 ,0.2917 ,0.1771 
20205,10,G,42,2020,15.00,64.00,49.00 ,0.1786 ,0.7619 ,0.5833 
20205,3,T,40,2020,34.00,55.50,21.50 ,0.4250 ,0.6938 ,0.2688 
20205,5,T,46,2020,28.50,37.50,9.00 ,0.3098 ,0.4076 ,0.0978 
20205,7,T,32,2020,24.00,32.00,8.00 ,0.3750 ,0.5000 ,0.1250 
20205,9,T,32,2020,16.00,21.50,5.50 ,0.2500 ,0.3359 ,0.0859 
10208,3,G,44,1020,34.50,55.50,21.00 ,0.3920 ,0.6307 ,0.2386 
10208,5,G,38,1020,37.50,55.50,18.00 ,0.4934 ,0.7303 ,0.2368 
10208,7,G,38,1020,46.00,55.50,9.50 ,0.6053 ,0.7303 ,0.1250 
10208,9,G,38,1020,28.50,43.00,14.50 ,0.3750 ,0.5658 ,0.1908 
10208,4,T,37,1020,48.00,68.00,20.00 ,0.6486 ,0.9189 ,0.2703 
10208,6,T,38,1020,23.50,41.00,17.50 ,0.3092 ,0.5395 ,0.2303 
10208,8,T,38,1020,38.00,51.50,13.50 ,0.5000 ,0.6776 ,0.1776 
10208,10,T,26,1020,33.50,49.00,15.50 ,0.6442 ,0.9423 ,0.2981 
20204,3,G,40,2020,63.50,79.50,16.00 ,0.7938 ,0.9938 ,0.2000 
20204,5,G,46,2020,68.00,88.00,20.00 ,0.7391 ,0.9565 ,0.2174 
20204,7,G,32,2020,43.00,59.50,16.50 ,0.6719 ,0.9297 ,0.2578 
20204,9,G,32,2020,39.50,53.00,13.50 ,0.6172 ,0.8281 ,0.2109 
20204,4,T,52,2020,68.00,95.50,27.50 ,0.6538 ,0.9183 ,0.2644 
20204,6,T,50,2020,57.00,85.50,28.50 ,0.5700 ,0.8550 ,0.2850 
20204,8,T,48,2020,46.00,77.50,31.50 ,0.4792 ,0.8073 ,0.3281 
20204,10,T,42,2020,50.00,67.00,17.00 ,0.5952 ,0.7976 ,0.2024 
20206,3,G,40,2020,22.50,38.50,16.00 ,0.2813 ,0.4813 ,0.2000 
20206,5,G,46,2020,20.00,32.50,12.50 ,0.2174 ,0.3533 ,0.1359 
20206,7,G,32,2020,13.50,33.50,20.00 ,0.2109 ,0.5234 ,0.3125 
